n, hm, ehm, p, ep, m, em, v, ev
10, 0.200000, 0.666667, 0.460188, 0.275658, 0.460188, 0.275658, 0.149168, 1.234610
20, 0.350000, 0.047619, 0.356649, 0.065376, 0.356649, 0.065376, 0.324624, 0.026828
40, 0.275000, 0.212121, 0.320847, 0.038915, 0.320847, 0.038915, 0.330080, 0.009855
80, 0.275000, 0.212121, 0.268871, 0.239752, 0.268871, 0.239752, 0.333074, 0.000780
160, 0.337500, 0.012346, 0.289883, 0.149888, 0.289883, 0.149888, 0.333332, 0.000004
320, 0.353125, 0.056047, 0.309055, 0.078556, 0.309055, 0.078556, 0.333327, 0.000019
640, 0.365625, 0.088319, 0.330025, 0.010023, 0.335084, 0.005225, 0.333340, 0.000021
1280, 0.342969, 0.028094, 0.329815, 0.010667, 0.333779, 0.001335, 0.333339, 0.000017
2560, 0.331250, 0.006289, 0.331055, 0.006881, 0.333192, 0.000424, 0.333333, 0.000001
5120, 0.322266, 0.034343, 0.335474, 0.006381, 0.332900, 0.001302, 0.333333, 0.000002
10240, 0.335938, 0.007752, 0.334547, 0.003627, 0.333358, 0.000075, 0.333333, 0.000000
20480, 0.337891, 0.013487, 0.332540, 0.002386, 0.333368, 0.000103, 0.333333, 0.000000
40960, 0.335132, 0.005367, 0.331863, 0.004430, 0.333366, 0.000098, 0.333333, 0.000000
81920, 0.334534, 0.003588, 0.332587, 0.002244, 0.333329, 0.000013, 0.333333, 0.000000
163840, 0.334503, 0.003497, 0.332610, 0.002175, 0.333324, 0.000027, 0.333333, 0.000000
327680, 0.333203, 0.000391, 0.332823, 0.001534, 0.333334, 0.000003, 0.333333, 0.000000
655360, 0.332790, 0.001634, 0.332986, 0.001042, 0.333334, 0.000002, 0.333333, 0.000000
1310720, 0.333048, 0.000856, 0.333337, 0.000012, 0.333333, 0.000000, 0.333333, 0.000000
2621440, 0.333535, 0.000606, 0.333379, 0.000136, 0.333333, 0.000000, 0.333333, 0.000000
5242880, 0.333376, 0.000128, 0.333503, 0.000508, 0.333333, 0.000000, 0.333333, 0.000000
